ip.src,ip.dst,ipv6.src,ipv6.dst,tcp.srcport,tcp.dstport,tls.handshake.type,tls.record.version,tls.handshake.version,tls.handshake.ciphersuite,frame.protocols
,,"2600:1702:50b1:8e00:cdb6:1041:ff5:be66","2a03:2880:f351:18d:face:b00c:0:32c2","12638","443","1","0x0301","0x0303","0xc02f,0xc02b,0xc030,0xc02c,0x009e,0x00a2,0x00a3,0x009f,0xc027,0xc023,0xc028,0xc024,0x0067,0x0040,0x006b,0x00ff","eth:ethertype:ipv6:tcp:tls"
,,"2600:1702:50b1:8e00:cdb6:1041:ff5:be66","2a03:2880:f351:18d:face:b00c:0:32c2","12642","443","1","0x0301","0x0303","0xc02f,0xc02b,0xc030,0xc02c,0x009e,0x00a2,0x00a3,0x009f,0xc027,0xc023,0xc028,0xc024,0x0067,0x0040,0x006b,0x00ff","eth:ethertype:ipv6:tcp:tls"
,,"2600:1702:50b1:8e00:cdb6:1041:ff5:be66","2a03:2880:f351:18d:face:b00c:0:32c2","12643","443","1","0x0301","0x0303","0xc02f,0xc02b,0xc030,0xc02c,0x009e,0x00a2,0x00a3,0x009f,0xc027,0xc023,0xc028,0xc024,0x0067,0x0040,0x006b,0x00ff","eth:ethertype:ipv6:tcp:tls"
,,"2600:1702:50b1:8e00:cdb6:1041:ff5:be66","2a03:2880:f351:18d:face:b00c:0:32c2","12644","443","1","0x0301","0x0303","0xc02f,0xc02b,0xc030,0xc02c,0x009e,0x00a2,0x00a3,0x009f,0xc027,0xc023,0xc028,0xc024,0x0067,0x0040,0x006b,0x00ff","eth:ethertype:ipv6:tcp:tls"
,,"2600:1702:50b1:8e00:cdb6:1041:ff5:be66","2a03:2880:f351:18d:face:b00c:0:32c2","12645","443","1","0x0301","0x0303","0xc02f,0xc02b,0xc030,0xc02c,0x009e,0x00a2,0x00a3,0x009f,0xc027,0xc023,0xc028,0xc024,0x0067,0x0040,0x006b,0x00ff","eth:ethertype:ipv6:tcp:tls"
,,"2600:1702:50b1:8e00:cdb6:1041:ff5:be66","2a03:2880:f351:18d:face:b00c:0:32c2","12648","443","1","0x0301","0x0303","0xc02f,0xc02b,0xc030,0xc02c,0x009e,0x00a2,0x00a3,0x009f,0xc027,0xc023,0xc028,0xc024,0x0067,0x0040,0x006b,0x00ff","eth:ethertype:ipv6:tcp:tls"
,,"2600:1702:50b1:8e00:cdb6:1041:ff5:be66","2a03:2880:f351:18d:face:b00c:0:32c2","12646","443","1","0x0301","0x0303","0xc02f,0xc02b,0xc030,0xc02c,0x009e,0x00a2,0x00a3,0x009f,0xc027,0xc023,0xc028,0xc024,0x0067,0x0040,0x006b,0x00ff","eth:ethertype:ipv6:tcp:tls"
,,"2600:1702:50b1:8e00:cdb6:1041:ff5:be66","2a03:2880:f351:18d:face:b00c:0:32c2","12639","443","1","0x0301","0x0303","0xc02f,0xc02b,0xc030,0xc02c,0x009e,0x00a2,0x00a3,0x009f,0xc027,0xc023,0xc028,0xc024,0x0067,0x0040,0x006b,0x00ff","eth:ethertype:ipv6:tcp:tls"
,,"2600:1702:50b1:8e00:cdb6:1041:ff5:be66","2a03:2880:f351:18d:face:b00c:0:32c2","12640","443","1","0x0301","0x0303","0xc02f,0xc02b,0xc030,0xc02c,0x009e,0x00a2,0x00a3,0x009f,0xc027,0xc023,0xc028,0xc024,0x0067,0x0040,0x006b,0x00ff","eth:ethertype:ipv6:tcp:tls"
,,"2600:1702:50b1:8e00:cdb6:1041:ff5:be66","2a03:2880:f351:18d:face:b00c:0:32c2","12641","443","1","0x0301","0x0303","0xc02f,0xc02b,0xc030,0xc02c,0x009e,0x00a2,0x00a3,0x009f,0xc027,0xc023,0xc028,0xc024,0x0067,0x0040,0x006b,0x00ff","eth:ethertype:ipv6:tcp:tls"
