Value,Description,DTLS-OK,Recommended,Reference,Hex Vals
"0xD0,0x02",TLS_ECDHE_PSK_WITH_AES_256_GCM_SHA384,Y,Y,[RFC8442],0xD002
"0xD0,0x03",TLS_ECDHE_PSK_WITH_AES_128_CCM_8_SHA256,Y,N,[RFC8442],0xD003
"0xD0,0x05",TLS_ECDHE_PSK_WITH_AES_128_CCM_SHA256,Y,Y,[RFC8442],0xD005
"0xDA,0xDA",GREASE (IGNORE),Y,N,[RFC8701],0xDADA
"0xEA,0xEA",GREASE (IGNORE),Y,N,[RFC8701],0xEAEA
"0xFA,0xFA",GREASE (IGNORE),Y,N,[RFC8701],0xFAFA
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
